WellID	PlateID	Column	Row	i5	i7
Plate1_A1	1	1	A	i5_F1_515rcbc110	i7_R1_515rcbc105
Plate1_B1	1	1	B	i5_F1_515rcbc110	i7_R2_515rcbc158
Plate1_C1	1	1	C	i5_F1_515rcbc110	i7_R3_515rcbc263
Plate1_D1	1	1	D	i5_F1_515rcbc110	i7_R4_515rcbc370
Plate1_E1	1	1	E	i5_F1_515rcbc110	i7_R5_515rcbc388
Plate1_F1	1	1	F	i5_F1_515rcbc110	i7_R6_515rcbc408
Plate1_G1	1	1	G	i5_F1_515rcbc110	i7_R7_515rcbc417
Plate1_H1	1	1	H	i5_F1_515rcbc110	i7_R8_515rcbc829
Plate1_A2	1	2	A	i5_F2_515rcbc184	i7_R1_515rcbc105
Plate1_B2	1	2	B	i5_F2_515rcbc184	i7_R2_515rcbc158
Plate1_C2	1	2	C	i5_F2_515rcbc184	i7_R3_515rcbc263
Plate1_D2	1	2	D	i5_F2_515rcbc184	i7_R4_515rcbc370
Plate1_E2	1	2	E	i5_F2_515rcbc184	i7_R5_515rcbc388
Plate1_F2	1	2	F	i5_F2_515rcbc184	i7_R6_515rcbc408
Plate1_G2	1	2	G	i5_F2_515rcbc184	i7_R7_515rcbc417
Plate1_H2	1	2	H	i5_F2_515rcbc184	i7_R8_515rcbc829
Plate1_A3	1	3	A	i5_F3_515rcbc434	i7_R1_515rcbc105
Plate1_B3	1	3	B	i5_F3_515rcbc434	i7_R2_515rcbc158
Plate1_C3	1	3	C	i5_F3_515rcbc434	i7_R3_515rcbc263
Plate1_D3	1	3	D	i5_F3_515rcbc434	i7_R4_515rcbc370
Plate1_E3	1	3	E	i5_F3_515rcbc434	i7_R5_515rcbc388
Plate1_F3	1	3	F	i5_F3_515rcbc434	i7_R6_515rcbc408
Plate1_G3	1	3	G	i5_F3_515rcbc434	i7_R7_515rcbc417
Plate1_H3	1	3	H	i5_F3_515rcbc434	i7_R8_515rcbc829
Plate1_A4	1	4	A	i5_F4_515rcbc443	i7_R1_515rcbc105
Plate1_B4	1	4	B	i5_F4_515rcbc443	i7_R2_515rcbc158
Plate1_C4	1	4	C	i5_F4_515rcbc443	i7_R3_515rcbc263
Plate1_D4	1	4	D	i5_F4_515rcbc443	i7_R4_515rcbc370
Plate1_E4	1	4	E	i5_F4_515rcbc443	i7_R5_515rcbc388
Plate1_F4	1	4	F	i5_F4_515rcbc443	i7_R6_515rcbc408
